title,text,label,text_cleaned
New Energy Source Developed,Engineers describe new renewable energy technology improving efficiency,1,engineers describe new renewable energy technology improving efficiency
Environmental Protection Law Passed,Parliament passes comprehensive environmental protection legislation,1,parliament passes comprehensive environmental protection legislation
Government Hides UFO Evidence,Secret documents reveal government has been hiding UFO evidence for decades,0,secret documents reveal government hiding ufo evidence decades
Bill Gates Plans Population Control,Bill Gates admitted his plan to reduce population through vaccines,0,bill gates admitted plan reduce population vaccines
Princess Autopsy Results Hidden,Princess autopsy results hidden by royal family conspiracy,0,princess autopsy results hidden royal family conspiracy
Medical Breakthrough Announced,Doctors develop revolutionary cancer treatment showing promising clinical results,1,doctors develop revolutionary cancer treatment showing promising clinical results
Illuminati Controls World Banks,Illuminati secretly controls all world financial institutions,0,illuminati secretly controls world financial institutions
Healthcare System Improved,Healthcare system implements new protocols improving patient care quality,1,healthcare system implements new protocols improving patient care quality
Researchers Discover New Species,Research team discovers previously unknown species in Amazon rainforest expedition,1,research team discovers previously unknown species amazon rainforest expedition
5G Network Spreads Diseases,5G network deployment is causing COVID-like symptoms,0,network deployment causing covidlike symptoms
Medical Breakthrough Announced,Doctors develop revolutionary cancer treatment showing promising clinical results,1,doctors develop revolutionary cancer treatment showing promising clinical results
University Releases Study,Harvard researchers publish findings on cognitive health and exercise correlation,1,harvard researchers publish findings cognitive health exercise correlation
Reptilians Run Government,Reptile humanoids run major governments worldwide,0,reptile humanoids run major governments worldwide
Researchers Discover New Species,Research team discovers previously unknown species in Amazon rainforest expedition,1,research team discovers previously unknown species amazon rainforest expedition
Study Shows Vaccine Effectiveness,New large-scale study confirms effectiveness of COVID vaccines reducing hospitalizations by 95%,1,new largescale study confirms effectiveness covid vaccines reducing hospitalizations
Infrastructure Project Completed,Department of Transportation completes major bridge infrastructure project,1,department transportation completes major bridge infrastructure project
Chemtrails Control Weather,Chemtrails in the sky are used to control and monitor citizens,0,chemtrails sky used control monitor citizens
Environmental Protection Law Passed,Parliament passes comprehensive environmental protection legislation,1,parliament passes comprehensive environmental protection legislation
