title,text,label
COVID Vaccine Contains Microchips,"According to sources, the COVID vaccine contains microchips for tracking",0
Government Hides UFO Evidence,Secret documents reveal government has been hiding UFO evidence for decades,0
Moon Landing Was Fake,Technology experts prove the 1969 moon landing was entirely simulated,0
Bill Gates Plans Population Control,Bill Gates admitted his plan to reduce population through vaccines,0
JFK Assassin Not Caught,JFK assassin was never caught and remains in hiding,0
Area 51 Contains Aliens,Area 51 contains alien technology and beings kept secret,0
Chemtrails Control Weather,Chemtrails in the sky are used to control and monitor citizens,0
5G Network Spreads Diseases,5G network deployment is causing COVID-like symptoms,0
NASA Faked Mars Photos,NASA faked all Mars rover photos using Hollywood studios,0
Illuminati Controls World Banks,Illuminati secretly controls all world financial institutions,0
Prince Diana Was Murdered,"Princess Diana death was cover-up, evidence destroyed",0
Buildings Destroyed by Directed Energy,World Trade Center destroyed by military directed energy weapons,0
Flat Earth Conspiracy Proven,Flat Earth hypothesis gaining acceptance among scientists,0
Reptilians Run Government,Reptile humanoids run major governments worldwide,0
Princess Autopsy Results Hidden,Princess autopsy results hidden by royal family conspiracy,0
COVID Vaccine Contains Microchips,"According to sources, the COVID vaccine contains microchips for tracking",0
Government Hides UFO Evidence,Secret documents reveal government has been hiding UFO evidence for decades,0
Moon Landing Was Fake,Technology experts prove the 1969 moon landing was entirely simulated,0
Bill Gates Plans Population Control,Bill Gates admitted his plan to reduce population through vaccines,0
JFK Assassin Not Caught,JFK assassin was never caught and remains in hiding,0
Area 51 Contains Aliens,Area 51 contains alien technology and beings kept secret,0
Chemtrails Control Weather,Chemtrails in the sky are used to control and monitor citizens,0
5G Network Spreads Diseases,5G network deployment is causing COVID-like symptoms,0
NASA Faked Mars Photos,NASA faked all Mars rover photos using Hollywood studios,0
Illuminati Controls World Banks,Illuminati secretly controls all world financial institutions,0
Prince Diana Was Murdered,"Princess Diana death was cover-up, evidence destroyed",0
Buildings Destroyed by Directed Energy,World Trade Center destroyed by military directed energy weapons,0
Flat Earth Conspiracy Proven,Flat Earth hypothesis gaining acceptance among scientists,0
Reptilians Run Government,Reptile humanoids run major governments worldwide,0
Princess Autopsy Results Hidden,Princess autopsy results hidden by royal family conspiracy,0
COVID Vaccine Contains Microchips,"According to sources, the COVID vaccine contains microchips for tracking",0
Government Hides UFO Evidence,Secret documents reveal government has been hiding UFO evidence for decades,0
Moon Landing Was Fake,Technology experts prove the 1969 moon landing was entirely simulated,0
Bill Gates Plans Population Control,Bill Gates admitted his plan to reduce population through vaccines,0
JFK Assassin Not Caught,JFK assassin was never caught and remains in hiding,0
Area 51 Contains Aliens,Area 51 contains alien technology and beings kept secret,0
Chemtrails Control Weather,Chemtrails in the sky are used to control and monitor citizens,0
5G Network Spreads Diseases,5G network deployment is causing COVID-like symptoms,0
NASA Faked Mars Photos,NASA faked all Mars rover photos using Hollywood studios,0
Illuminati Controls World Banks,Illuminati secretly controls all world financial institutions,0
Prince Diana Was Murdered,"Princess Diana death was cover-up, evidence destroyed",0
Buildings Destroyed by Directed Energy,World Trade Center destroyed by military directed energy weapons,0
Flat Earth Conspiracy Proven,Flat Earth hypothesis gaining acceptance among scientists,0
Reptilians Run Government,Reptile humanoids run major governments worldwide,0
Princess Autopsy Results Hidden,Princess autopsy results hidden by royal family conspiracy,0
COVID Vaccine Contains Microchips,"According to sources, the COVID vaccine contains microchips for tracking",0
Government Hides UFO Evidence,Secret documents reveal government has been hiding UFO evidence for decades,0
Moon Landing Was Fake,Technology experts prove the 1969 moon landing was entirely simulated,0
Bill Gates Plans Population Control,Bill Gates admitted his plan to reduce population through vaccines,0
JFK Assassin Not Caught,JFK assassin was never caught and remains in hiding,0
Area 51 Contains Aliens,Area 51 contains alien technology and beings kept secret,0
Chemtrails Control Weather,Chemtrails in the sky are used to control and monitor citizens,0
5G Network Spreads Diseases,5G network deployment is causing COVID-like symptoms,0
NASA Faked Mars Photos,NASA faked all Mars rover photos using Hollywood studios,0
Illuminati Controls World Banks,Illuminati secretly controls all world financial institutions,0
Prince Diana Was Murdered,"Princess Diana death was cover-up, evidence destroyed",0
Buildings Destroyed by Directed Energy,World Trade Center destroyed by military directed energy weapons,0
Flat Earth Conspiracy Proven,Flat Earth hypothesis gaining acceptance among scientists,0
Reptilians Run Government,Reptile humanoids run major governments worldwide,0
Princess Autopsy Results Hidden,Princess autopsy results hidden by royal family conspiracy,0
COVID Vaccine Contains Microchips,"According to sources, the COVID vaccine contains microchips for tracking",0
Government Hides UFO Evidence,Secret documents reveal government has been hiding UFO evidence for decades,0
Moon Landing Was Fake,Technology experts prove the 1969 moon landing was entirely simulated,0
Bill Gates Plans Population Control,Bill Gates admitted his plan to reduce population through vaccines,0
JFK Assassin Not Caught,JFK assassin was never caught and remains in hiding,0
Area 51 Contains Aliens,Area 51 contains alien technology and beings kept secret,0
Chemtrails Control Weather,Chemtrails in the sky are used to control and monitor citizens,0
5G Network Spreads Diseases,5G network deployment is causing COVID-like symptoms,0
NASA Faked Mars Photos,NASA faked all Mars rover photos using Hollywood studios,0
Illuminati Controls World Banks,Illuminati secretly controls all world financial institutions,0
Prince Diana Was Murdered,"Princess Diana death was cover-up, evidence destroyed",0
Buildings Destroyed by Directed Energy,World Trade Center destroyed by military directed energy weapons,0
Flat Earth Conspiracy Proven,Flat Earth hypothesis gaining acceptance among scientists,0
Reptilians Run Government,Reptile humanoids run major governments worldwide,0
Princess Autopsy Results Hidden,Princess autopsy results hidden by royal family conspiracy,0
COVID Vaccine Contains Microchips,"According to sources, the COVID vaccine contains microchips for tracking",0
Government Hides UFO Evidence,Secret documents reveal government has been hiding UFO evidence for decades,0
Moon Landing Was Fake,Technology experts prove the 1969 moon landing was entirely simulated,0
Bill Gates Plans Population Control,Bill Gates admitted his plan to reduce population through vaccines,0
JFK Assassin Not Caught,JFK assassin was never caught and remains in hiding,0
Area 51 Contains Aliens,Area 51 contains alien technology and beings kept secret,0
Chemtrails Control Weather,Chemtrails in the sky are used to control and monitor citizens,0
5G Network Spreads Diseases,5G network deployment is causing COVID-like symptoms,0
NASA Faked Mars Photos,NASA faked all Mars rover photos using Hollywood studios,0
Illuminati Controls World Banks,Illuminati secretly controls all world financial institutions,0
Prince Diana Was Murdered,"Princess Diana death was cover-up, evidence destroyed",0
Buildings Destroyed by Directed Energy,World Trade Center destroyed by military directed energy weapons,0
Flat Earth Conspiracy Proven,Flat Earth hypothesis gaining acceptance among scientists,0
Reptilians Run Government,Reptile humanoids run major governments worldwide,0
Princess Autopsy Results Hidden,Princess autopsy results hidden by royal family conspiracy,0
COVID Vaccine Contains Microchips,"According to sources, the COVID vaccine contains microchips for tracking",0
Government Hides UFO Evidence,Secret documents reveal government has been hiding UFO evidence for decades,0
Moon Landing Was Fake,Technology experts prove the 1969 moon landing was entirely simulated,0
Bill Gates Plans Population Control,Bill Gates admitted his plan to reduce population through vaccines,0
JFK Assassin Not Caught,JFK assassin was never caught and remains in hiding,0
Area 51 Contains Aliens,Area 51 contains alien technology and beings kept secret,0
Chemtrails Control Weather,Chemtrails in the sky are used to control and monitor citizens,0
5G Network Spreads Diseases,5G network deployment is causing COVID-like symptoms,0
NASA Faked Mars Photos,NASA faked all Mars rover photos using Hollywood studios,0
Illuminati Controls World Banks,Illuminati secretly controls all world financial institutions,0
Prince Diana Was Murdered,"Princess Diana death was cover-up, evidence destroyed",0
Buildings Destroyed by Directed Energy,World Trade Center destroyed by military directed energy weapons,0
